"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2001","67","PM2.5","Not Available","54-051-1002","AQS"
"01/04/2001","57","PM2.5","Not Available","54-051-1002","AQS"
"01/07/2001","74","PM2.5","Not Available","54-051-1002","AQS"
"01/10/2001","67","PM2.5","Not Available","54-051-1002","AQS"
"01/13/2001","109","PM2.5","Not Available","54-051-1002","AQS"
"01/16/2001","48","PM2.5","Not Available","54-051-1002","AQS"
"01/19/2001","71","PM2.5","Not Available","54-051-1002","AQS"
"01/22/2001","87","PM2.5","Not Available","54-051-1002","AQS"
"01/25/2001","59","PM2.5","Not Available","54-051-1002","AQS"
"01/28/2001","68","PM2.5","Not Available","54-051-1002","AQS"
"01/31/2001","39","PM2.5","Not Available","54-051-1002","AQS"
"02/03/2001","54","PM2.5","Not Available","54-051-1002","AQS"
"02/06/2001","56","PM2.5","Not Available","54-051-1002","AQS"
"02/09/2001","65","PM2.5","Not Available","54-051-1002","AQS"
"02/12/2001","55","PM2.5","Not Available","54-051-1002","AQS"
"02/15/2001","52","PM2.5","Not Available","54-051-1002","AQS"
"02/18/2001","42","PM2.5","Not Available","54-051-1002","AQS"
"02/21/2001","52","PM2.5","Not Available","54-051-1002","AQS"
"02/24/2001","66","PM2.5","Not Available","54-051-1002","AQS"
"02/27/2001","67","PM2.5","Not Available","54-051-1002","AQS"
"03/02/2001","63","PM2.5","Not Available","54-051-1002","AQS"
"03/05/2001","32","PM2.5","Not Available","54-051-1002","AQS"
"03/08/2001","59","PM2.5","Not Available","54-051-1002","AQS"
"03/11/2001","75","PM2.5","Not Available","54-051-1002","AQS"
"03/14/2001","40","PM2.5","Not Available","54-051-1002","AQS"
"03/17/2001","27","PM2.5","Not Available","54-051-1002","AQS"
"03/20/2001","25","PM10","Not Available","54-051-1002","AQS"
"03/23/2001","66","PM2.5","Not Available","54-051-1002","AQS"
"03/26/2001","30","PM2.5","Not Available","54-051-1002","AQS"
"03/29/2001","60","PM2.5","Not Available","54-051-1002","AQS"
"04/01/2001","67","PM2.5","Not Available","54-051-1002","AQS"
"04/04/2001","58","PM2.5","Not Available","54-051-1002","AQS"
"04/07/2001","67","PM2.5","Not Available","54-051-1002","AQS"
"04/10/2001","52","PM2.5","Not Available","54-051-1002","AQS"
"04/13/2001","26","PM2.5","Not Available","54-051-1002","AQS"
"04/16/2001","29","PM2.5","Not Available","54-051-1002","AQS"
"04/19/2001","54","PM2.5","Not Available","54-051-1002","AQS"
"04/22/2001","68","PM2.5","Not Available","54-051-1002","AQS"
"04/25/2001","35","PM2.5","Not Available","54-051-1002","AQS"
"04/28/2001","30","PM2.5","Not Available","54-051-1002","AQS"
"05/01/2001","78","PM2.5","Not Available","54-051-1002","AQS"
"05/04/2001","107","PM2.5","Not Available","54-051-1002","AQS"
"05/07/2001","63","PM2.5","Not Available","54-051-1002","AQS"
"05/10/2001","67","PM2.5","Not Available","54-051-1002","AQS"
"05/13/2001","30","PM2.5","Not Available","54-051-1002","AQS"
"05/16/2001","67","PM2.5","Not Available","54-051-1002","AQS"
"05/19/2001","57","PM2.5","Not Available","54-051-1002","AQS"
"05/22/2001","32","PM2.5","Not Available","54-051-1002","AQS"
"05/25/2001","33","PM2.5","Not Available","54-051-1002","AQS"
"05/28/2001","48","PM2.5","Not Available","54-051-1002","AQS"
"05/31/2001","36","PM2.5","Not Available","54-051-1002","AQS"
"06/03/2001","38","PM2.5","Not Available","54-051-1002","AQS"
"06/06/2001","77","PM2.5","Not Available","54-051-1002","AQS"
"06/09/2001","58","PM2.5","Not Available","54-051-1002","AQS"
"06/12/2001","77","PM2.5","Not Available","54-051-1002","AQS"
"06/15/2001","82","PM2.5","Not Available","54-051-1002","AQS"
"06/18/2001","52","PM2.5","Not Available","54-051-1002","AQS"
"06/21/2001","75","PM2.5","Not Available","54-051-1002","AQS"
"06/24/2001","60","PM2.5","Not Available","54-051-1002","AQS"
"06/27/2001","92","PM2.5","Not Available","54-051-1002","AQS"
"06/30/2001","94","PM2.5","Not Available","54-051-1002","AQS"
"07/03/2001","64","PM2.5","Not Available","54-051-1002","AQS"
"07/06/2001","42","PM2.5","Not Available","54-051-1002","AQS"
"07/09/2001","64","PM2.5","Not Available","54-051-1002","AQS"
"07/12/2001","48","PM2.5","Not Available","54-051-1002","AQS"
"07/15/2001","55","PM2.5","Not Available","54-051-1002","AQS"
"07/18/2001","91","PM2.5","Not Available","54-051-1002","AQS"
"07/24/2001","44","PM10","Not Available","54-051-1002","AQS"
"07/27/2001","38","PM2.5","Not Available","54-051-1002","AQS"
"07/30/2001","63","PM2.5","Not Available","54-051-1002","AQS"
"08/02/2001","117","PM2.5","Not Available","54-051-1002","AQS"
"08/05/2001","96","PM2.5","Not Available","54-051-1002","AQS"
"08/08/2001","108","PM2.5","Not Available","54-051-1002","AQS"
"08/11/2001","68","PM2.5","Not Available","54-051-1002","AQS"
"08/14/2001","52","PM2.5","Not Available","54-051-1002","AQS"
"08/17/2001","68","PM2.5","Not Available","54-051-1002","AQS"
"08/20/2001","52","PM2.5","Not Available","54-051-1002","AQS"
"08/23/2001","60","PM2.5","Not Available","54-051-1002","AQS"
